            ETA        F'(ETA)
  0.000000  0.000000
  0.075000  0.035220
  0.150000  0.070435
  0.225000  0.105636
  0.300000  0.140806
  0.375000  0.175919
  0.450000  0.210944
  0.525000  0.245844
  0.600000  0.280575
  0.675000  0.315087
  0.750000  0.349323
  0.825000  0.383222
  0.900000  0.416718
  0.975000  0.449742
  1.050000  0.482221
  1.125000  0.514081
  1.200000  0.545247
  1.275000  0.575641
  1.350000  0.605191
  1.425000  0.633825
  1.500000  0.661474
  1.575000  0.688075
  1.650000  0.713572
  1.725000  0.737913
  1.800000  0.761057
  1.875000  0.782970
  1.950000  0.803628
  2.025000  0.823015
  2.100000  0.841128
  2.175000  0.857970
  2.250000  0.873557
  2.325000  0.887911
  2.400000  0.901065
  2.475000  0.913060
  2.550000  0.923940
  2.625000  0.933760
  2.700000  0.942576
  2.775000  0.950450
  2.850000  0.957444
  2.925000  0.963624
  3.000000  0.969055
  3.075000  0.973802
  3.150000  0.977928
  3.225000  0.981496
  3.300000  0.984563
  3.375000  0.987186
  3.450000  0.989416
  3.525000  0.991302
  3.600000  0.992888
  3.675000  0.994214
  3.750000  0.995317
  3.825000  0.996229
  3.900000  0.996979
  3.975000  0.997592
  4.050000  0.998091
  4.125000  0.998494
  4.200000  0.998818
  4.275000  0.999078
  4.350000  0.999284
  4.425000  0.999447
  4.500000  0.999575
  4.575000  0.999675
  4.650000  0.999753
  4.725000  0.999813
  4.800000  0.999859
  4.875000  0.999895
  4.950000  0.999922
  5.025000  0.999942
  5.100000  0.999957
  5.175000  0.999969
  5.250000  0.999977
  5.325000  0.999984
  5.400000  0.999988
  5.475000  0.999991
  5.550000  0.999994
  5.625000  0.999996
  5.700000  0.999997
  5.775000  0.999998
  5.850000  0.999999
  5.925000  0.999999
  6.000000  0.999999
  6.075000  1.000000
  6.150000  1.000000
  6.225000  1.000000
  6.300000  1.000000
  6.375000  1.000000
  6.450000  1.000000
  6.525000  1.000000
  6.600000  1.000000
  6.675000  1.000000
  6.750000  1.000000
  6.825000  1.000000
  6.900000  1.000000
  6.975000  1.000000
  7.050000  1.000000
  7.125000  1.000000
  7.200000  1.000000
  7.275000  1.000000
  7.350000  1.000000
  7.425000  1.000000
  7.500000  1.000000
  7.575000  1.000000
  7.650000  1.000000
  7.725000  1.000000
  7.800000  1.000000
  7.875000  1.000000
  7.950000  1.000000
  8.025000  1.000000
  8.100000  1.000000
  8.175000  1.000000
  8.250000  1.000000
  8.325000  1.000000
  8.400000  1.000000
  8.475000  1.000000
  8.550000  1.000000
  8.625000  1.000000
  8.700000  1.000000
  8.775000  1.000000
  8.850000  1.000000
  8.925000  1.000000
  9.000000  1.000000
  9.075000  1.000000
  9.150000  1.000000
  9.225000  1.000000
  9.300000  1.000000
  9.375000  1.000000
  9.450000  1.000000
  9.525000  1.000000
  9.600000  1.000000
  9.675000  1.000000
  9.750000  1.000000
  9.825000  1.000000
  9.900000  1.000000
  9.975000  1.000000
 10.050000  1.000000
 10.125000  1.000000
 10.200000  1.000000
 10.275000  1.000000
 10.350000  1.000000
 10.425000  1.000000
 10.500000  1.000000
 10.575000  1.000000
 10.650000  1.000000
 10.725000  1.000000
 10.800000  1.000000
 10.875000  1.000000
 10.950000  1.000000
 11.025000  1.000000
 11.100000  1.000000
 11.175000  1.000000
 11.250000  1.000000
 11.325000  1.000000
 11.400000  1.000000
 11.475000  1.000000
 11.550000  1.000000
 11.625000  1.000000
 11.700000  1.000000
 11.775000  1.000000
 11.850000  1.000000
 11.925000  1.000000
 12.000000  1.000000
 12.075000  1.000000
 12.150000  1.000000
 12.225000  1.000000
 12.300000  1.000000
 12.375000  1.000000
 12.450000  1.000000
 12.525000  1.000000
 12.600000  1.000000
 12.675000  1.000000
 12.750000  1.000000
 12.825000  1.000000
 12.900000  1.000000
 12.975000  1.000000
 13.050000  1.000000
 13.125000  1.000000
 13.200000  1.000000
 13.275000  1.000000
 13.350000  1.000000
 13.425000  1.000000
 13.500000  1.000000
 13.575000  1.000000
 13.650000  1.000000
 13.725000  1.000000
 13.800000  1.000000
 13.875000  1.000000
 13.950000  1.000000
 14.025000  1.000000
 14.100000  1.000000
 14.175000  1.000000
 14.250000  1.000000
 14.325000  1.000000
 14.400000  1.000000
 14.475000  1.000000
 14.550000  1.000000
 14.625000  1.000000
 14.700000  1.000000
 14.775000  1.000000
 14.850000  1.000000
 14.925000  1.000000
 15.000000  1.000000
