     Steps      Time  Center temperature
           0        0.00   20.000000
           1        0.80   20.020000
           2        1.60   20.040000
           3        2.40   20.060000
           4        3.20   20.080000
           5        4.00   20.100000
           6        4.80   20.120000
           7        5.60   20.140000
           8        6.40   20.160000
           9        7.20   20.180000
          10        8.00   20.200000
          11        8.80   20.220000
          12        9.60   20.240000
          13       10.40   20.260000
          14       11.20   20.280000
          15       12.00   20.300000
          16       12.80   20.320000
          17       13.60   20.340000
          18       14.40   20.360000
          19       15.20   20.380000
          20       16.00   20.400000
          21       16.80   20.420000
          22       17.60   20.440000
          23       18.40   20.460000
          24       19.20   20.480000
          25       20.00   20.500000
          26       20.80   20.520000
          27       21.60   20.540000
          28       22.40   20.560000
          29       23.20   20.580000
          30       24.00   20.600000
          31       24.80   20.620000
          32       25.60   20.640000
          33       26.40   20.660000
          34       27.20   20.680000
          35       28.00   20.700000
          36       28.80   20.720000
          37       29.60   20.740000
          38       30.40   20.760000
          39       31.20   20.780000
          40       32.00   20.800000
          41       32.80   20.820000
          42       33.60   20.840000
          43       34.40   20.860000
          44       35.20   20.880000
          45       36.00   20.900000
          46       36.80   20.920000
          47       37.60   20.940000
          48       38.40   20.960000
          49       39.20   20.980000
          50       40.00   21.000000
          51       40.80   21.020000
          52       41.60   21.040000
          53       42.40   21.060000
          54       43.20   21.080000
          55       44.00   21.100000
          56       44.80   21.120000
          57       45.60   21.140000
          58       46.40   21.160000
          59       47.20   21.180000
          60       48.00   21.200000
          61       48.80   21.220000
          62       49.60   21.240000
          63       50.40   21.260000
          64       51.20   21.280000
          65       52.00   21.300000
          66       52.80   21.320000
          67       53.60   21.340000
          68       54.40   21.360000
          69       55.20   21.380000
          70       56.00   21.400000
          71       56.80   21.420000
          72       57.60   21.440000
          73       58.40   21.460000
          74       59.20   21.480000
          75       60.00   21.500000
          76       60.80   21.520000
          77       61.60   21.540000
          78       62.40   21.560000
          79       63.20   21.580000
          80       64.00   21.600000
          81       64.80   21.620000
          82       65.60   21.640000
          83       66.40   21.660000
          84       67.20   21.680000
          85       68.00   21.700000
          86       68.80   21.720000
          87       69.60   21.740000
          88       70.40   21.760000
          89       71.20   21.780000
          90       72.00   21.800000
          91       72.80   21.820000
          92       73.60   21.840000
          93       74.40   21.860000
          94       75.20   21.880000
          95       76.00   21.900000
          96       76.80   21.920000
          97       77.60   21.940000
          98       78.40   21.960000
          99       79.20   21.980000
         100       80.00   22.000000
         101       80.80   22.020000
         102       81.60   22.040000
         103       82.40   22.060000
         104       83.20   22.080000
         105       84.00   22.100000
         106       84.80   22.120000
         107       85.60   22.140000
         108       86.40   22.160000
         109       87.20   22.180000
         110       88.00   22.200000
         111       88.80   22.220000
         112       89.60   22.240000
         113       90.40   22.260000
         114       91.20   22.280000
         115       92.00   22.300000
         116       92.80   22.320000
         117       93.60   22.340000
         118       94.40   22.360000
         119       95.20   22.380000
         120       96.00   22.400000
         121       96.80   22.420000
         122       97.60   22.440000
         123       98.40   22.460000
         124       99.20   22.480000
         125      100.00   22.500000
         126      100.80   22.520000
         127      101.60   22.540000
         128      102.40   22.560000
         129      103.20   22.580000
         130      104.00   22.600000
         131      104.80   22.620000
         132      105.60   22.640000
         133      106.40   22.660000
         134      107.20   22.680000
         135      108.00   22.700000
         136      108.80   22.720000
         137      109.60   22.740000
         138      110.40   22.760000
         139      111.20   22.780000
         140      112.00   22.800000
         141      112.80   22.820000
         142      113.60   22.840000
         143      114.40   22.860000
         144      115.20   22.880000
         145      116.00   22.900000
         146      116.80   22.920000
         147      117.60   22.940000
         148      118.40   22.960000
         149      119.20   22.980000
         150      120.00   23.000000
         151      120.80   23.020000
         152      121.60   23.040000
         153      122.40   23.060001
         154      123.20   23.080001
         155      124.00   23.100001
         156      124.80   23.120001
         157      125.60   23.140001
         158      126.40   23.160001
         159      127.20   23.180001
         160      128.00   23.200001
         161      128.80   23.220001
         162      129.60   23.240001
         163      130.40   23.260001
         164      131.20   23.280001
         165      132.00   23.300001
         166      132.80   23.320001
         167      133.60   23.340001
         168      134.40   23.360001
         169      135.20   23.380001
         170      136.00   23.400001
         171      136.80   23.420001
         172      137.60   23.440001
         173      138.40   23.460001
         174      139.20   23.480001
         175      140.00   23.500001
         176      140.80   23.520001
         177      141.60   23.540001
         178      142.40   23.560001
         179      143.20   23.580001
         180      144.00   23.600001
         181      144.80   23.620001
         182      145.60   23.640001
         183      146.40   23.660001
         184      147.20   23.680001
         185      148.00   23.700001
         186      148.80   23.720001
         187      149.60   23.740001
         188      150.40   23.760001
         189      151.20   23.780001
         190      152.00   23.800001
         191      152.80   23.820001
         192      153.60   23.840001
         193      154.40   23.860001
         194      155.20   23.880001
         195      156.00   23.900001
         196      156.80   23.920001
         197      157.60   23.940001
         198      158.40   23.960001
         199      159.20   23.980001
         200      160.00   24.000001
         201      160.80   24.020001
         202      161.60   24.040001
         203      162.40   24.060001
         204      163.20   24.080001
         205      164.00   24.100001
         206      164.80   24.120001
         207      165.60   24.140001
         208      166.40   24.160001
         209      167.20   24.180001
         210      168.00   24.200001
         211      168.80   24.220001
         212      169.60   24.240001
         213      170.40   24.260001
         214      171.20   24.280001
         215      172.00   24.300001
         216      172.80   24.320001
         217      173.60   24.340001
         218      174.40   24.360001
         219      175.20   24.380001
         220      176.00   24.400001
         221      176.80   24.420001
         222      177.60   24.440001
         223      178.40   24.460001
         224      179.20   24.480000
         225      180.00   24.500000
         226      180.80   24.520000
         227      181.60   24.540000
         228      182.40   24.560000
         229      183.20   24.580000
         230      184.00   24.600000
         231      184.80   24.620000
         232      185.60   24.640000
         233      186.40   24.660000
         234      187.20   24.680000
         235      188.00   24.700000
         236      188.80   24.720000
         237      189.60   24.740000
         238      190.40   24.760000
         239      191.20   24.780000
         240      192.00   24.800001
         241      192.80   24.820001
         242      193.60   24.840001
         243      194.40   24.860001
         244      195.20   24.880001
         245      196.00   24.900001
         246      196.80   24.920001
         247      197.60   24.940001
         248      198.40   24.960001
         249      199.20   24.980001
         250      200.00   25.000001
         251      200.80   25.020001
         252      201.60   25.040001
         253      202.40   25.060001
         254      203.20   25.080001
         255      204.00   25.100001
         256      204.80   25.120001
         257      205.60   25.140001
         258      206.40   25.160001
         259      207.20   25.180001
         260      208.00   25.200001
         261      208.80   25.220001
         262      209.60   25.240001
         263      210.40   25.260001
         264      211.20   25.280002
         265      212.00   25.300002
         266      212.80   25.320002
         267      213.60   25.340002
         268      214.40   25.360002
         269      215.20   25.380002
         270      216.00   25.400002
         271      216.80   25.420002
         272      217.60   25.440002
         273      218.40   25.460003
         274      219.20   25.480003
         275      220.00   25.500003
         276      220.80   25.520003
         277      221.60   25.540003
         278      222.40   25.560003
         279      223.20   25.580004
         280      224.00   25.600004
         281      224.80   25.620004
         282      225.60   25.640004
         283      226.40   25.660004
         284      227.20   25.680005
         285      228.00   25.700005
         286      228.80   25.720005
         287      229.60   25.740005
         288      230.40   25.760006
         289      231.20   25.780006
         290      232.00   25.800006
         291      232.80   25.820006
         292      233.60   25.840007
         293      234.40   25.860007
         294      235.20   25.880007
         295      236.00   25.900008
         296      236.80   25.920008
         297      237.60   25.940008
         298      238.40   25.960009
         299      239.20   25.980009
         300      240.00   26.000010
         301      240.80   26.020010
         302      241.60   26.040011
         303      242.40   26.060011
         304      243.20   26.080012
         305      244.00   26.100012
         306      244.80   26.120013
         307      245.60   26.140013
         308      246.40   26.160014
         309      247.20   26.180014
         310      248.00   26.200015
         311      248.80   26.220015
         312      249.60   26.240016
         313      250.40   26.260017
         314      251.20   26.280017
         315      252.00   26.300018
         316      252.80   26.320019
         317      253.60   26.340020
         318      254.40   26.360020
         319      255.20   26.380021
         320      256.00   26.400022
         321      256.80   26.420023
         322      257.60   26.440024
         323      258.40   26.460025
         324      259.20   26.480026
         325      260.00   26.500027
         326      260.80   26.520028
         327      261.60   26.540029
         328      262.40   26.560030
         329      263.20   26.580031
         330      264.00   26.600032
         331      264.80   26.620033
         332      265.60   26.640034
         333      266.40   26.660035
         334      267.20   26.680037
         335      268.00   26.700038
         336      268.80   26.720039
         337      269.60   26.740041
         338      270.40   26.760042
         339      271.20   26.780044
         340      272.00   26.800045
         341      272.80   26.820047
         342      273.60   26.840048
         343      274.40   26.860050
         344      275.20   26.880052
         345      276.00   26.900053
         346      276.80   26.920055
         347      277.60   26.940057
         348      278.40   26.960059
         349      279.20   26.980061
         350      280.00   27.000063
         351      280.80   27.020065
         352      281.60   27.040067
         353      282.40   27.060069
         354      283.20   27.080072
         355      284.00   27.100074
         356      284.80   27.120076
         357      285.60   27.140079
         358      286.40   27.160081
         359      287.20   27.180084
         360      288.00   27.200086
         361      288.80   27.220089
         362      289.60   27.240092
         363      290.40   27.260094
         364      291.20   27.280097
         365      292.00   27.300100
         366      292.80   27.320103
         367      293.60   27.340106
         368      294.40   27.360109
         369      295.20   27.380113
         370      296.00   27.400116
         371      296.80   27.420119
         372      297.60   27.440123
         373      298.40   27.460126
         374      299.20   27.480130
         375      300.00   27.500134
         376      300.80   27.520137
         377      301.60   27.540141
         378      302.40   27.560145
         379      303.20   27.580149
         380      304.00   27.600153
         381      304.80   27.620157
         382      305.60   27.640162
         383      306.40   27.660166
         384      307.20   27.680171
         385      308.00   27.700175
         386      308.80   27.720180
         387      309.60   27.740185
         388      310.40   27.760190
         389      311.20   27.780195
         390      312.00   27.800200
         391      312.80   27.820205
         392      313.60   27.840210
         393      314.40   27.860216
         394      315.20   27.880221
         395      316.00   27.900227
         396      316.80   27.920232
         397      317.60   27.940238
         398      318.40   27.960244
         399      319.20   27.980250
         400      320.00   28.000257
         401      320.80   28.020263
         402      321.60   28.040269
         403      322.40   28.060276
         404      323.20   28.080283
         405      324.00   28.100290
         406      324.80   28.120297
         407      325.60   28.140304
         408      326.40   28.160311
         409      327.20   28.180319
         410      328.00   28.200326
         411      328.80   28.220334
         412      329.60   28.240342
         413      330.40   28.260350
         414      331.20   28.280358
         415      332.00   28.300366
         416      332.80   28.320374
         417      333.60   28.340383
         418      334.40   28.360392
         419      335.20   28.380401
         420      336.00   28.400410
         421      336.80   28.420419
         422      337.60   28.440429
         423      338.40   28.460438
         424      339.20   28.480448
         425      340.00   28.500458
         426      340.80   28.520468
         427      341.60   28.540478
         428      342.40   28.560489
         429      343.20   28.580499
         430      344.00   28.600510
         431      344.80   28.620521
         432      345.60   28.640532
         433      346.40   28.660544
         434      347.20   28.680555
         435      348.00   28.700567
         436      348.80   28.720579
         437      349.60   28.740591
         438      350.40   28.760604
         439      351.20   28.780616
         440      352.00   28.800629
         441      352.80   28.820642
         442      353.60   28.840655
         443      354.40   28.860669
         444      355.20   28.880683
         445      356.00   28.900696
         446      356.80   28.920711
         447      357.60   28.940725
         448      358.40   28.960739
         449      359.20   28.980754
         450      360.00   29.000769
         451      360.80   29.020785
         452      361.60   29.040800
         453      362.40   29.060816
         454      363.20   29.080832
         455      364.00   29.100848
         456      364.80   29.120865
         457      365.60   29.140881
         458      366.40   29.160898
         459      367.20   29.180916
         460      368.00   29.200933
         461      368.80   29.220951
         462      369.60   29.240969
         463      370.40   29.260987
         464      371.20   29.281006
         465      372.00   29.301025
         466      372.80   29.321044
         467      373.60   29.341063
         468      374.40   29.361083
         469      375.20   29.381103
         470      376.00   29.401123
         471      376.80   29.421144
         472      377.60   29.441165
         473      378.40   29.461186
         474      379.20   29.481208
         475      380.00   29.501229
         476      380.80   29.521251
         477      381.60   29.541274
         478      382.40   29.561297
         479      383.20   29.581320
         480      384.00   29.601343
         481      384.80   29.621367
         482      385.60   29.641391
         483      386.40   29.661415
         484      387.20   29.681440
         485      388.00   29.701465
         486      388.80   29.721490
         487      389.60   29.741516
         488      390.40   29.761542
         489      391.20   29.781568
         490      392.00   29.801595
         491      392.80   29.821622
         492      393.60   29.841649
         493      394.40   29.861677
         494      395.20   29.881705
         495      396.00   29.901734
         496      396.80   29.921763
         497      397.60   29.941792
         498      398.40   29.961821
         499      399.20   29.981851
         500      400.00   30.001882
         501      400.80   30.021913
         502      401.60   30.041944
         503      402.40   30.061975
         504      403.20   30.082007
         505      404.00   30.102040
