         T_w         T_P         T_e
      0.0000      3.5556      0.0000
      7.3208      7.5610      3.6667
      8.8229      8.9517      6.6707
      9.3444      9.4346      7.7138
      9.5255      9.6023      8.0760
      9.5884      9.6605      8.2017
      9.6102      9.6807      8.2454
      9.6178      9.6878      8.2606
      9.6204      9.6902      8.2658
      9.6213      9.6910      8.2676
      9.6216      9.6913      8.2683
      9.6217      9.6914      8.2685
      9.6218      9.6915      8.2686
      9.6218      9.6915      8.2686
      9.6218      9.6915      8.2686
