         x    flux_1    flux_2    flux_3    flux_4
    0.000000   23.684263   25.968604   25.968604   23.684263
    0.066005   23.673665   25.963962   25.973201   23.694821
    0.132011   23.663025   25.959276   25.977753   23.705339
    0.198016   23.652346   25.954544   25.982260   23.715816
    0.264021   23.641626   25.949768   25.986722   23.726252
    0.330027   23.630865   25.944947   25.991139   23.736648
    0.396032   23.620064   25.940082   25.995512   23.747003
    0.462037   23.609223   25.935171   25.999839   23.757317
    0.528042   23.598341   25.930216   26.004122   23.767591
    0.594048   23.587419   25.925216   26.008360   23.777824
    0.660053   23.576456   25.920171   26.012553   23.788016
    0.726058   23.565453   25.915081   26.016701   23.798168
    0.792064   23.554410   25.909947   26.020804   23.808279
    0.858069   23.543326   25.904767   26.024862   23.818349
    0.924074   23.532202   25.899543   26.028876   23.828378
    0.990080   23.521038   25.894275   26.032844   23.838367
    1.056085   23.509834   25.888961   26.036768   23.848314
    1.122090   23.498589   25.883603   26.040646   23.858221
    1.188095   23.487305   25.878200   26.044480   23.868087
    1.254101   23.475980   25.872753   26.048268   23.877912
    1.320106   23.464615   25.867261   26.052012   23.887696
    1.386111   23.453209   25.861724   26.055711   23.897440
    1.452117   23.441764   25.856142   26.059364   23.907142
    1.518122   23.430278   25.850516   26.062973   23.916804
    1.584127   23.418753   25.844845   26.066537   23.926424
    1.650133   23.407187   25.839129   26.070056   23.936004
    1.716138   23.395581   25.833369   26.073529   23.945542
    1.782143   23.383936   25.827564   26.076958   23.955040
    1.848148   23.372250   25.821714   26.080342   23.964496
    1.914154   23.360524   25.815820   26.083681   23.973912
    1.980159   23.348759   25.809881   26.086975   23.983286
    2.046164   23.336953   25.803898   26.090224   23.992619
    2.112170   23.325108   25.797870   26.093427   24.001911
    2.178175   23.313222   25.791797   26.096586   24.011162
    2.244180   23.301297   25.785680   26.099700   24.020372
    2.310186   23.289332   25.779518   26.102769   24.029541
    2.376191   23.277327   25.773312   26.105792   24.038669
    2.442196   23.265282   25.767061   26.108771   24.047755
    2.508201   23.253198   25.760766   26.111704   24.056800
    2.574207   23.241073   25.754426   26.114593   24.065804
    2.640212   23.228909   25.748041   26.117436   24.074767
    2.706217   23.216706   25.741612   26.120235   24.083689
    2.772223   23.204462   25.735139   26.122988   24.092569
