         x      flux
    0.000000    1.000000
    0.066005    0.999998
    0.132011    0.999995
    0.198016    0.999990
    0.264021    0.999983
    0.330027    0.999974
    0.396032    0.999964
    0.462037    0.999952
    0.528042    0.999938
    0.594048    0.999923
    0.660053    0.999905
    0.726058    0.999886
    0.792064    0.999866
    0.858069    0.999843
    0.924074    0.999819
    0.990080    0.999793
    1.056085    0.999766
    1.122090    0.999737
    1.188095    0.999706
    1.254101    0.999673
    1.320106    0.999638
    1.386111    0.999602
    1.452117    0.999564
    1.518122    0.999525
    1.584127    0.999484
    1.650133    0.999440
    1.716138    0.999396
    1.782143    0.999349
    1.848148    0.999301
    1.914154    0.999251
    1.980159    0.999199
    2.046164    0.999146
    2.112170    0.999091
    2.178175    0.999034
    2.244180    0.998976
    2.310186    0.998915
    2.376191    0.998853
    2.442196    0.998790
    2.508201    0.998724
    2.574207    0.998657
    2.640212    0.998588
    2.706217    0.998518
    2.772223    0.998446
    2.838228    0.998372
    2.904233    0.998296
    2.970239    0.998218
    3.036244    0.998139
    3.102249    0.998058
    3.168255    0.997976
    3.234260    0.997891
    3.300265    0.997805
    3.366270    0.997718
    3.432276    0.997628
    3.498281    0.997537
    3.564286    0.997444
    3.630292    0.997350
    3.696297    0.997253
    3.762302    0.997155
    3.828308    0.997055
    3.894313    0.996954
    3.960318    0.996851
    4.026323    0.996746
    4.092329    0.996639
    4.158334    0.996531
    4.224339    0.996421
    4.290345    0.996309
    4.356350    0.996195
    4.422355    0.996080
    4.488361    0.995963
    4.554366    0.995844
    4.620371    0.995724
    4.686376    0.995602
    4.752382    0.995478
    4.818387    0.995353
    4.884392    0.995225
    4.950398    0.995097
    5.016403    0.994966
    5.082408    0.994834
    5.148414    0.994699
    5.214419    0.994564
    5.280424    0.994426
    5.346429    0.994287
    5.412435    0.994146
    5.478440    0.994003
    5.544445    0.993859
    5.610451    0.993713
    5.676456    0.993565
    5.742461    0.993416
    5.808467    0.993264
    5.874472    0.993111
    5.940477    0.992957
    6.006483    0.992800
    6.072488    0.992642
    6.138493    0.992483
    6.204498    0.992321
    6.270504    0.992158
    6.336509    0.991993
    6.402514    0.991826
    6.468520    0.991658
    6.534525    0.991488
    6.600530    0.991316
    6.666536    0.991143
    6.732541    0.990968
    6.798546    0.990791
    6.864551    0.990612
    6.930557    0.990432
    6.996562    0.990250
    7.062567    0.990066
    7.128573    0.989881
    7.194578    0.989694
    7.260583    0.989505
    7.326589    0.989315
    7.392594    0.989122
    7.458599    0.988929
    7.524604    0.988733
    7.590610    0.988536
    7.656615    0.988337
    7.722620    0.988136
    7.788626    0.987933
    7.854631    0.987729
    7.920636    0.987523
    7.986642    0.987316
    8.052647    0.987107
    8.118652    0.986896
    8.184658    0.986683
    8.250663    0.986469
    8.316668    0.986253
    8.382673    0.986035
    8.448679    0.985815
    8.514684    0.985594
    8.580689    0.985371
    8.646695    0.985147
    8.712700    0.984921
    8.778705    0.984693
    8.844711    0.984463
    8.910716    0.984232
    8.976721    0.983999
    9.042726    0.983764
    9.108732    0.983528
    9.174737    0.983289
    9.240742    0.983050
    9.306748    0.982808
    9.372753    0.982565
    9.438758    0.982320
    9.504764    0.982073
    9.570769    0.981825
    9.636774    0.981575
    9.702779    0.981323
    9.768785    0.981070
    9.834790    0.980815
    9.900795    0.980558
    9.966801    0.980300
   10.032806    0.980040
   10.098811    0.979778
   10.164817    0.979514
   10.230822    0.979249
   10.296827    0.978982
   10.362832    0.978714
   10.428838    0.978443
   10.494843    0.978171
   10.560848    0.977898
   10.626854    0.977622
   10.692859    0.977345
   10.758864    0.977067
   10.824870    0.976786
   10.890875    0.976504
   10.956880    0.976220
   11.022886    0.975935
   11.088891    0.975648
   11.154896    0.975359
   11.220901    0.975068
   11.286907    0.974776
   11.352912    0.974482
   11.418917    0.974187
   11.484923    0.973889
   11.550928    0.973591
   11.616933    0.973290
   11.682939    0.972988
   11.748944    0.972684
   11.814949    0.972378
   11.880954    0.972071
   11.946960    0.971762
   12.012965    0.971451
   12.078970    0.971139
   12.144976    0.970825
   12.210981    0.970509
   12.276986    0.970192
   12.342992    0.969873
   12.408997    0.969552
   12.475002    0.969229
   12.541007    0.968905
   12.607013    0.968580
   12.673018    0.968252
   12.739023    0.967923
   12.805029    0.967592
   12.871034    0.967260
   12.937039    0.966926
   13.003045    0.966590
   13.069050    0.966252
   13.135055    0.965913
   13.201060    0.965573
   13.267066    0.965230
   13.333071    0.964886
   13.399076    0.964540
   13.465082    0.964193
   13.531087    0.963844
   13.597092    0.963493
   13.663098    0.963140
   13.729103    0.962786
   13.795108    0.962430
   13.861114    0.962073
   13.927119    0.961714
   13.993124    0.961353
   14.059129    0.960991
   14.125135    0.960626
   14.191140    0.960261
   14.257145    0.959893
   14.323151    0.959524
   14.389156    0.959153
   14.455161    0.958781
   14.521167    0.958407
   14.587172    0.958031
   14.653177    0.957654
   14.719182    0.957275
   14.785188    0.956894
   14.851193    0.956512
   14.917198    0.956128
   14.983204    0.955742
   15.049209    0.955355
   15.115214    0.954966
   15.181220    0.954575
   15.247225    0.954183
   15.313230    0.953789
   15.379235    0.953393
   15.445241    0.952996
   15.511246    0.952597
   15.577251    0.952197
   15.643257    0.951795
   15.709262    0.951391
   15.775267    0.950985
   15.841273    0.950578
   15.907278    0.950170
   15.973283    0.949759
   16.039288    0.949347
   16.105294    0.948933
   16.171299    0.948518
   16.237304    0.948101
   16.303310    0.947683
   16.369315    0.947262
   16.435320    0.946840
   16.501326    0.946417
   16.567331    0.945992
   16.633336    0.945565
   16.699342    0.945136
   16.765347    0.944706
   16.831352    0.944275
   16.897357    0.943841
   16.963363    0.943406
   17.029368    0.942970
   17.095373    0.942531
   17.161379    0.942091
   17.227384    0.941650
   17.293389    0.941207
   17.359395    0.940762
   17.425400    0.940315
   17.491405    0.939867
   17.557410    0.939418
   17.623416    0.938966
   17.689421    0.938513
   17.755426    0.938059
   17.821432    0.937603
   17.887437    0.937145
   17.953442    0.936685
   18.019448    0.936224
   18.085453    0.935762
   18.151458    0.935297
   18.217463    0.934831
   18.283469    0.934364
   18.349474    0.933894
   18.415479    0.933424
   18.481485    0.932951
   18.547490    0.932477
   18.613495    0.932002
   18.679501    0.931524
   18.745506    0.931045
   18.811511    0.930565
   18.877516    0.930083
   18.943522    0.929599
   19.009527    0.929113
   19.075532    0.928626
   19.141538    0.928138
   19.207543    0.927648
   19.273548    0.927156
   19.339554    0.926662
   19.405559    0.926167
   19.471564    0.925671
   19.537570    0.925172
   19.603575    0.924673
   19.669580    0.924171
   19.735585    0.923668
   19.801591    0.923163
   19.867596    0.922657
   19.933601    0.922149
   19.999607    0.921640
   20.065612    0.921128
   20.131617    0.920616
   20.197623    0.920101
   20.263628    0.919586
   20.329633    0.919068
   20.395638    0.918549
   20.461644    0.918028
   20.527649    0.917506
   20.593654    0.916982
   20.659660    0.916456
   20.725665    0.915929
   20.791670    0.915401
   20.857676    0.914870
   20.923681    0.914338
   20.989686    0.913805
   21.055691    0.913270
   21.121697    0.912733
   21.187702    0.912195
   21.253707    0.911655
   21.319713    0.911114
   21.385718    0.910571
   21.451723    0.910026
   21.517729    0.909480
   21.583734    0.908932
   21.649739    0.908383
   21.715744    0.907832
   21.781750    0.907279
   21.847755    0.906725
   21.913760    0.906170
   21.979766    0.905612
   22.045771    0.905053
   22.111776    0.904493
   22.177782    0.903931
   22.243787    0.903367
   22.309792    0.902802
   22.375798    0.902235
   22.441803    0.901667
   22.507808    0.901097
   22.573813    0.900526
   22.639819    0.899953
   22.705824    0.899378
   22.771829    0.898802
   22.837835    0.898224
   22.903840    0.897645
   22.969845    0.897064
   23.035851    0.896482
   23.101856    0.895898
   23.167861    0.895312
   23.233866    0.894725
   23.299872    0.894136
   23.365877    0.893546
   23.431882    0.892954
   23.497888    0.892361
   23.563893    0.891766
   23.629898    0.891169
   23.695904    0.890571
   23.761909    0.889971
   23.827914    0.889370
   23.893919    0.888767
   23.959925    0.888163
   24.025930    0.887557
   24.091935    0.886950
   24.157941    0.886341
   24.223946    0.885730
   24.289951    0.885118
   24.355957    0.884505
   24.421962    0.883889
   24.487967    0.883273
   24.553973    0.882654
   24.619978    0.882034
   24.685983    0.881413
   24.751988    0.880790
   24.817994    0.880166
   24.883999    0.879540
   24.950004    0.878912
   25.016010    0.878283
   25.082015    0.877652
   25.148020    0.877020
   25.214026    0.876386
   25.280031    0.875751
   25.346036    0.875114
   25.412041    0.874476
   25.478047    0.873836
   25.544052    0.873195
   25.610057    0.872552
   25.676063    0.871907
   25.742068    0.871261
   25.808073    0.870614
   25.874079    0.869965
   25.940084    0.869314
   26.006089    0.868662
   26.072094    0.868008
   26.138100    0.867353
   26.204105    0.866696
   26.270110    0.866038
   26.336116    0.865378
   26.402121    0.864717
   26.468126    0.864054
   26.534132    0.863390
   26.600137    0.862724
   26.666142    0.862057
   26.732147    0.861388
   26.798153    0.860717
   26.864158    0.860045
   26.930163    0.859372
   26.996169    0.858697
   27.062174    0.858020
   27.128179    0.857342
   27.194185    0.856663
   27.260190    0.855982
   27.326195    0.855299
   27.392201    0.854615
   27.458206    0.853930
   27.524211    0.853242
   27.590216    0.852554
   27.656222    0.851864
   27.722227    0.851172
   27.788232    0.850479
   27.854238    0.849784
   27.920243    0.849088
   27.986248    0.848391
   28.052254    0.847692
   28.118259    0.846991
   28.184264    0.846289
   28.250269    0.845585
   28.316275    0.844880
   28.382280    0.844174
   28.448285    0.843465
   28.514291    0.842756
   28.580296    0.842045
   28.646301    0.841332
   28.712307    0.840618
   28.778312    0.839902
   28.844317    0.839185
   28.910322    0.838467
   28.976328    0.837747
   29.042333    0.837025
   29.108338    0.836302
   29.174344    0.835578
   29.240349    0.834852
   29.306354    0.834124
   29.372360    0.833395
   29.438365    0.832665
   29.504370    0.831933
   29.570375    0.831199
   29.636381    0.830464
   29.702386    0.829728
   29.768391    0.828990
   29.834397    0.828251
   29.900402    0.827510
   29.966407    0.826768
   30.032413    0.826024
   30.098418    0.825279
   30.164423    0.824532
   30.230429    0.823784
   30.296434    0.823034
   30.362439    0.822283
   30.428444    0.821531
   30.494450    0.820776
   30.560455    0.820021
   30.626460    0.819264
   30.692466    0.818505
   30.758471    0.817746
   30.824476    0.816984
   30.890482    0.816221
   30.956487    0.815457
   31.022492    0.814691
   31.088497    0.813924
   31.154503    0.813155
   31.220508    0.812385
   31.286513    0.811614
   31.352519    0.810841
   31.418524    0.810066
   31.484529    0.809290
   31.550535    0.808513
   31.616540    0.807734
   31.682545    0.806953
   31.748550    0.806172
   31.814556    0.805388
   31.880561    0.804604
   31.946566    0.803818
   32.012572    0.803030
   32.078577    0.802241
   32.144582    0.801451
   32.210588    0.800659
   32.276593    0.799865
   32.342598    0.799070
   32.408603    0.798274
   32.474609    0.797477
   32.540614    0.796677
   32.606619    0.795877
   32.672625    0.795075
   32.738630    0.794271
   32.804635    0.793467
   32.870641    0.792660
   32.936646    0.791853
   33.002651    0.791043
   33.068657    0.790233
   33.134662    0.789421
   33.200667    0.788607
   33.266672    0.787792
   33.332678    0.786976
   33.398683    0.786158
   33.464688    0.785339
   33.530694    0.784518
   33.596699    0.783696
   33.662704    0.782873
   33.728710    0.782048
   33.794715    0.781222
   33.860720    0.780394
   33.926725    0.779565
   33.992731    0.778734
   34.058736    0.777902
   34.124741    0.777069
   34.190747    0.776234
   34.256752    0.775398
   34.322757    0.774560
   34.388763    0.773721
   34.454768    0.772881
   34.520773    0.772039
   34.586778    0.771196
   34.652784    0.770351
   34.718789    0.769505
   34.784794    0.768657
   34.850800    0.767808
   34.916805    0.766958
   34.982810    0.766106
   35.048816    0.765253
   35.114821    0.764398
   35.180826    0.763542
   35.246831    0.762685
   35.312837    0.761826
   35.378842    0.760966
   35.444847    0.760104
   35.510853    0.759242
   35.576858    0.758377
   35.642863    0.757511
   35.708869    0.756644
   35.774874    0.755776
   35.840879    0.754906
   35.906885    0.754034
   35.972890    0.753162
   36.038895    0.752287
   36.104900    0.751412
   36.170906    0.750535
   36.236911    0.749657
   36.302916    0.748777
   36.368922    0.747896
   36.434927    0.747013
   36.500932    0.746130
   36.566938    0.745244
   36.632943    0.744358
   36.698948    0.743470
   36.764953    0.742580
   36.830959    0.741689
   36.896964    0.740797
   36.962969    0.739904
   37.028975    0.739009
   37.094980    0.738112
   37.160985    0.737215
   37.226991    0.736316
   37.292996    0.735415
   37.359001    0.734513
   37.425006    0.733610
   37.491012    0.732706
   37.557017    0.731800
   37.623022    0.730892
   37.689028    0.729984
   37.755033    0.729074
   37.821038    0.728162
   37.887044    0.727250
   37.953049    0.726335
   38.019054    0.725420
   38.085060    0.724503
   38.151065    0.723585
   38.217070    0.722665
   38.283075    0.721744
   38.349081    0.720822
   38.415086    0.719898
   38.481091    0.718973
   38.547097    0.718046
   38.613102    0.717119
   38.679107    0.716190
   38.745113    0.715259
   38.811118    0.714327
   38.877123    0.713394
   38.943128    0.712459
   39.009134    0.711523
   39.075139    0.710586
   39.141144    0.709647
   39.207150    0.708707
   39.273155    0.707766
   39.339160    0.706823
   39.405166    0.705879
   39.471171    0.704934
   39.537176    0.703987
   39.603181    0.703039
   39.669187    0.702089
   39.735192    0.701139
   39.801197    0.700186
   39.867203    0.699233
   39.933208    0.698278
   39.999213    0.697322
   40.065219    0.696364
   40.131224    0.695405
   40.197229    0.694445
   40.263234    0.693484
   40.329240    0.692521
   40.395245    0.691556
   40.461250    0.690591
   40.527256    0.689624
   40.593261    0.688656
   40.659266    0.687686
   40.725272    0.686715
   40.791277    0.685743
   40.857282    0.684769
   40.923288    0.683794
   40.989293    0.682818
   41.055298    0.681840
   41.121303    0.680861
   41.187309    0.679881
   41.253314    0.678899
   41.319319    0.677916
   41.385325    0.676932
   41.451330    0.675946
   41.517335    0.674960
   41.583341    0.673971
   41.649346    0.672982
   41.715351    0.671991
   41.781356    0.670998
   41.847362    0.670005
   41.913367    0.669010
   41.979372    0.668014
   42.045378    0.667016
   42.111383    0.666017
   42.177388    0.665017
   42.243394    0.664015
   42.309399    0.663013
   42.375404    0.662008
   42.441409    0.661003
   42.507415    0.659996
   42.573420    0.658988
   42.639425    0.657978
   42.705431    0.656968
   42.771436    0.655955
   42.837441    0.654942
   42.903447    0.653927
   42.969452    0.652911
   43.035457    0.651894
   43.101462    0.650875
   43.167468    0.649855
   43.233473    0.648834
   43.299478    0.647811
   43.365484    0.646787
